06/04 09:33:31 PM | Arguments:
06/04 09:33:50 PM | Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.040755	Accuracy: 97.9093%
06/04 09:33:50 PM | Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.035697	Accuracy: 97.8588%
06/04 09:33:51 PM | Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.174184	Accuracy: 97.8880%
06/04 09:33:51 PM | Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.132032	Accuracy: 97.9425%
06/04 09:33:51 PM | Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.105070	Accuracy: 97.9167%
06/04 09:33:51 PM | Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.026190	Accuracy: 97.8951%
06/04 09:33:51 PM | Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.122632	Accuracy: 97.9246%
06/04 09:33:51 PM | Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.110689	Accuracy: 97.8723%
06/04 09:33:51 PM | Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.005104	Accuracy: 97.8891%
06/04 09:33:51 PM | Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.032064	Accuracy: 97.9328%
06/04 09:33:52 PM | Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.167392	Accuracy: 97.9349%
06/04 09:33:52 PM | Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.069612	Accuracy: 97.9368%
06/04 09:33:52 PM | Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.033868	Accuracy: 97.9221%
06/04 09:33:52 PM | Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.008089	Accuracy: 97.9478%
06/04 09:33:52 PM | Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.017318	Accuracy: 97.9562%
06/04 09:33:52 PM | Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.043251	Accuracy: 97.9709%
06/04 09:33:52 PM | Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.023373	Accuracy: 97.9302%
06/04 09:33:53 PM | Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.309319	Accuracy: 97.8929%
06/04 09:33:53 PM | Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.178638	Accuracy: 97.8772%
06/04 09:33:53 PM | Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.160134	Accuracy: 97.8448%
06/04 09:33:53 PM | Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.025384	Accuracy: 97.8148%
06/04 09:33:53 PM | Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.035103	Accuracy: 97.7980%
06/04 09:33:53 PM | Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.035191	Accuracy: 97.8039%
06/04 09:33:53 PM | Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.044508	Accuracy: 97.8094%
06/04 09:33:54 PM | Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.035919	Accuracy: 97.7994%
06/04 09:33:54 PM | Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.080750	Accuracy: 97.8096%
06/04 09:33:54 PM | Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.113003	Accuracy: 97.8049%
06/04 09:33:54 PM | Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.085432	Accuracy: 97.8006%
06/04 09:33:54 PM | Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.089327	Accuracy: 97.7742%
06/04 09:33:54 PM | Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.024639	Accuracy: 97.8142%
06/04 09:33:54 PM | Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.086912	Accuracy: 97.8184%
06/04 09:33:55 PM | Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.050294	Accuracy: 97.8223%
06/04 09:33:55 PM | Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.180526	Accuracy: 97.8061%
06/04 09:33:55 PM | Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.115981	Accuracy: 97.8063%
06/04 09:33:55 PM | Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.059964	Accuracy: 97.8102%
06/04 09:33:55 PM | Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.098582	Accuracy: 97.8140%
06/04 09:33:55 PM | Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.046642	Accuracy: 97.8140%
